datetime,open,close,high,low,volume,money
2023-01-03,13.2,13.77,13.85,13.05,219412794.0,2971546989.0
2023-01-04,13.71,14.32,14.42,13.63,218968253.0,3110729449.0
2023-01-05,14.4,14.48,14.74,14.37,166542518.0,2417272356.0
2023-01-06,14.5,14.62,14.72,14.48,119574471.0,1747915169.0
2023-01-09,14.75,14.8,14.88,14.52,105765911.0,1561368487.0
2023-01-10,14.76,14.44,14.89,14.39,126942339.0,1851093717.0
2023-01-11,14.45,14.67,14.78,14.39,83056612.0,1217450812.0
2023-01-12,14.77,14.67,14.77,14.53,62569484.0,914367700.0
2023-01-13,14.67,14.95,14.95,14.55,94908583.0,1407181074.0
2023-01-16,14.95,15.08,15.28,14.85,156003989.0,2356399993.0
2023-01-17,15.13,14.97,15.18,14.77,93583454.0,1396151515.0
2023-01-18,14.95,15.11,15.18,14.91,71843403.0,1083362998.0
2023-01-19,15.13,15.09,15.25,14.87,64187520.0,963744633.0
2023-01-20,15.16,15.13,15.24,15.0,60859008.0,920144806.0
2023-01-30,15.6,15.15,15.74,14.89,137431750.0,2096867649.0
2023-01-31,15.24,14.99,15.51,14.96,103049784.0,1568639326.0
2023-02-01,15.03,14.7,15.08,14.51,165342148.0,2426471973.0
2023-02-02,14.74,14.6,14.78,14.27,157790039.0,2280744883.0
2023-02-03,14.45,14.32,14.55,14.16,124638298.0,1782105891.0
2023-02-06,14.1,14.0,14.13,13.86,131761010.0,1838428709.0
2023-02-07,14.06,14.21,14.32,14.03,86946046.0,1235297763.0
2023-02-08,14.24,14.04,14.32,14.03,65789257.0,928708934.0
2023-02-09,14.01,14.13,14.3,13.96,83035002.0,1174361963.0
2023-02-10,14.1,13.98,14.12,13.86,84728366.0,1184283386.0
2023-02-13,13.94,13.82,13.94,13.6,180005416.0,2473405203.0
2023-02-14,13.85,13.96,13.98,13.8,90993709.0,1263892078.0
2023-02-15,13.95,13.67,13.96,13.62,125024398.0,1713566673.0
2023-02-16,13.68,13.6,13.91,13.5,127912329.0,1757431084.0
2023-02-17,13.63,13.43,13.72,13.43,91836369.0,1246777397.0
2023-02-20,13.5,14.15,14.15,13.49,211619117.0,2945969773.0
2023-02-21,14.06,14.1,14.2,13.92,99049499.0,1393153377.0
2023-02-22,14.0,14.02,14.12,13.94,63892239.0,895742534.0
2023-02-23,14.0,14.05,14.32,13.98,82449068.0,1165539851.0
2023-02-24,14.02,13.86,14.03,13.8,72998904.0,1012652972.0
2023-02-27,13.75,13.69,13.88,13.68,62146193.0,854854041.0
2023-02-28,13.75,13.78,13.85,13.61,60793592.0,833316018.0
2023-03-01,13.8,14.17,14.19,13.74,122345178.0,1719710647.0
2023-03-02,14.13,14.24,14.44,14.06,101587684.0,1447565980.0
2023-03-03,14.35,14.29,14.37,14.14,69095439.0,985552121.0
2023-03-06,14.3,13.85,14.3,13.72,145582414.0,2023954547.0
2023-03-07,13.85,13.69,14.1,13.65,127926629.0,1773654737.0
2023-03-08,13.63,13.53,13.64,13.4,109689791.0,1479838980.0
2023-03-09,13.54,13.2,13.58,13.13,173606476.0,2305765842.0
2023-03-10,13.0,13.14,13.27,13.0,85699610.0,1128558360.0
2023-03-13,13.12,13.05,13.29,13.0,100063496.0,1309490079.0
2023-03-14,12.99,12.87,13.0,12.73,114907558.0,1474124199.0
2023-03-15,13.05,13.05,13.18,12.94,97936372.0,1278262225.0
2023-03-16,12.89,12.82,13.03,12.8,91679249.0,1182054434.0
2023-03-17,12.99,12.75,13.04,12.65,155681414.0,2000832408.0
2023-03-20,12.76,12.57,12.85,12.55,118881633.0,1505893659.0
2023-03-21,12.65,12.7,12.78,12.5,84074317.0,1060914056.0
2023-03-22,12.75,12.79,12.88,12.71,87669077.0,1121080753.0
2023-03-23,12.7,12.9,12.9,12.63,80430604.0,1029380497.0
2023-03-24,12.85,12.82,12.86,12.76,62151875.0,796319542.0
2023-03-27,12.8,12.6,12.81,12.46,100842214.0,1266945056.0
2023-03-28,12.66,12.64,12.73,12.55,67386843.0,851797869.0
2023-03-29,12.73,12.53,12.74,12.5,59606433.0,750687551.0
2023-03-30,12.55,12.68,12.71,12.41,82454624.0,1035422932.0
2023-03-31,12.69,12.53,12.77,12.51,86549166.0,1092263437.0
2023-04-03,12.55,12.67,12.69,12.46,74042886.0,934285179.0
2023-04-04,12.64,12.65,12.72,12.59,64745722.0,817726527.0
2023-04-06,12.6,12.58,12.61,12.5,56332130.0,706480660.0
2023-04-07,12.57,12.62,12.69,12.5,60792526.0,767354797.0
2023-04-10,12.64,12.68,12.7,12.58,64018181.0,809943148.0
2023-04-11,12.7,12.54,12.72,12.52,77777962.0,978302908.0
2023-04-12,12.58,12.48,12.59,12.45,90995706.0,1136997696.0
2023-04-13,12.41,12.56,12.67,12.3,113159146.0,1413919037.0
2023-04-14,12.6,12.69,12.9,12.58,129799484.0,1653539531.0
2023-04-17,12.66,12.93,12.94,12.6,130421259.0,1669357649.0
2023-04-18,12.93,13.0,13.2,12.89,153893615.0,2009934875.0
2023-04-19,13.02,12.85,13.07,12.83,101437815.0,1309536002.0
2023-04-20,12.9,12.75,12.9,12.62,81178841.0,1033330704.0
2023-04-21,12.7,12.5,12.83,12.48,91866839.0,1160509766.0
2023-04-24,12.48,12.1,12.5,12.03,146767192.0,1798133967.0
2023-04-25,12.14,12.28,12.37,12.12,130190082.0,1595320170.0
2023-04-26,12.25,12.12,12.25,11.99,99126040.0,1197555724.0
2023-04-27,12.06,12.26,12.35,12.0,100409337.0,1222755932.0
2023-04-28,12.26,12.55,12.78,12.22,144525434.0,1816868033.0
2023-05-04,12.4,12.73,12.83,12.19,147826438.0,1863146144.0
2023-05-05,12.78,12.91,13.11,12.75,176218865.0,2283981032.0
2023-05-08,12.94,13.32,13.49,12.84,263071861.0,3478891629.0
2023-05-09,13.4,13.16,13.6,13.13,242253445.0,3238716471.0
2023-05-10,13.17,12.84,13.26,12.8,123705339.0,1600189994.0
2023-05-11,12.95,12.85,13.12,12.8,90375844.0,1166479365.0
2023-05-12,12.82,12.62,12.87,12.61,88560368.0,1124579091.0
2023-05-15,12.68,12.83,12.85,12.45,92832563.0,1173804243.0
2023-05-16,12.8,12.62,12.92,12.57,99830169.0,1267712090.0
