datetime,open,close,high,low,volume,money
2023-01-03,34.48,35.13,35.55,34.0,1930400.0,67262511.0
2023-01-04,35.22,35.5,35.83,35.01,1153000.0,40944737.0
2023-01-05,35.35,35.52,35.8,35.21,709800.0,25174633.0
2023-01-06,35.03,34.93,35.72,34.73,1951900.0,68397586.0
2023-01-09,35.24,33.28,35.24,33.09,3493500.0,118094285.0
2023-01-10,33.68,33.27,33.77,32.76,2421300.0,80133521.0
2023-01-11,35.43,34.96,36.33,34.63,7424800.0,261400406.0
2023-01-12,35.3,37.12,37.54,34.6,6543641.0,237236494.0
2023-01-13,37.1,36.49,37.18,35.97,3632000.0,132742251.0
2023-01-16,36.48,36.58,37.8,36.26,3963200.0,146922236.0
2023-01-17,36.98,37.86,38.38,36.39,3691900.0,139254491.0
2023-01-18,37.88,38.25,38.5,37.4,2143708.0,81721593.0
2023-01-19,38.49,38.86,38.88,37.88,1774665.0,68447269.0
2023-01-20,38.7,38.7,39.42,38.58,1835354.0,71430802.0
2023-01-30,39.1,40.06,40.25,38.92,3533065.0,140167933.0
2023-01-31,39.71,39.78,39.99,39.6,2079992.0,82705937.0
2023-02-01,39.79,39.56,39.96,39.32,2341300.0,92601265.0
2023-02-02,39.7,38.79,39.89,38.56,2912535.0,113765990.0
2023-02-03,38.76,39.51,39.65,38.62,2983365.0,116529653.0
2023-02-06,39.51,39.2,39.98,38.97,2599100.0,102247557.0
2023-02-07,39.12,39.47,39.58,38.9,2183200.0,85727410.0
2023-02-08,39.46,38.78,39.48,38.77,1815146.0,70734844.0
2023-02-09,38.78,39.72,39.78,38.7,2694200.0,106264535.0
2023-02-10,39.55,39.18,40.1,38.9,2267500.0,89117074.0
2023-02-13,39.18,38.95,39.58,38.81,2312139.0,90411270.0
2023-02-14,38.99,38.78,39.27,38.72,1738671.0,67697925.0
2023-02-15,38.79,39.35,39.65,38.6,2623100.0,102681827.0
2023-02-16,39.2,38.01,39.26,37.73,2382300.0,92018922.0
2023-02-17,38.35,38.05,38.42,37.81,1940900.0,74065462.0
2023-02-20,38.05,38.29,38.46,37.64,1564300.0,59507028.0
2023-02-21,38.27,39.31,39.78,38.05,2959646.0,115998783.0
2023-02-22,39.31,39.94,40.29,38.88,3587428.0,142554442.0
2023-02-23,40.0,39.25,40.0,39.05,2192900.0,86420804.0
2023-02-24,39.3,39.85,40.09,39.23,2745977.0,109113233.0
2023-02-27,40.0,39.71,40.18,39.5,3196300.0,127420731.0
2023-02-28,39.56,41.8,42.34,39.55,7219171.0,298101838.0
2023-03-01,41.91,42.62,42.91,41.47,7080900.0,299538955.0
2023-03-02,42.66,42.11,43.14,41.85,4173900.0,177263153.0
2023-03-03,42.24,41.7,42.38,41.43,4118300.0,172328985.0
2023-03-06,42.1,41.86,42.9,41.47,3526500.0,147959810.0
2023-03-07,41.61,40.06,41.88,39.89,5209357.0,211325513.0
2023-03-08,39.68,41.27,41.29,39.65,3081570.0,125442956.0
2023-03-09,41.28,40.98,41.41,40.47,1777416.0,72661087.0
2023-03-10,40.7,40.61,41.39,40.0,3120300.0,126748349.0
2023-03-13,40.51,40.14,41.08,39.75,3027500.0,121619844.0
2023-03-14,40.01,39.87,40.8,39.4,3073300.0,122944014.0
2023-03-15,40.1,38.4,40.22,38.2,5460600.0,212631228.0
2023-03-16,39.3,38.66,39.98,38.47,4395375.0,171862866.0
2023-03-17,39.05,38.7,39.22,38.46,2670812.0,103707450.0
2023-03-20,38.56,38.72,39.48,37.76,3175500.0,122175628.0
2023-03-21,38.87,39.04,39.45,38.76,2626100.0,102770202.0
2023-03-22,38.87,39.45,39.59,38.65,2980563.0,116626035.0
2023-03-23,39.38,40.45,41.28,39.23,4022600.0,162856219.0
2023-03-24,40.46,39.39,40.46,39.28,3092500.0,122926857.0
2023-03-27,39.3,39.02,39.7,38.67,2502646.0,97998596.0
2023-03-28,39.02,38.18,39.25,38.11,2600709.0,100557724.0
2023-03-29,38.18,38.56,38.97,37.85,2456200.0,94483654.0
2023-03-30,38.57,37.92,38.58,37.73,2473400.0,94033693.0
2023-03-31,38.08,38.88,38.92,37.72,2013457.0,77431133.0
2023-04-03,39.01,40.69,41.14,38.3,4646937.0,184689286.0
2023-04-04,40.8,39.43,40.94,39.19,4064100.0,162577935.0
2023-04-06,39.43,41.69,41.7,39.43,4919920.0,200879706.0
2023-04-07,41.49,41.18,41.68,40.7,2978628.0,122368514.0
