datetime,open,close,high,low,volume,money
2023-01-03,18.14,18.08,18.35,17.77,5437790.0,98024979.0
2023-01-04,18.05,18.0,18.28,17.85,3500798.0,63067521.0
2023-01-05,18.06,18.23,18.33,17.81,5828356.0,106093079.0
2023-01-06,18.23,18.07,18.23,17.89,3110576.0,56110131.0
2023-01-09,18.03,18.75,19.08,17.8,8926310.0,165611909.0
2023-01-10,18.68,19.14,19.5,18.5,6554418.0,125144198.0
2023-01-11,19.12,19.32,19.83,19.0,10071123.0,196045098.0
2023-01-12,19.3,19.06,19.59,18.9,3071163.0,58776582.0
2023-01-13,19.06,19.28,19.34,18.78,3153507.0,60373173.0
2023-01-16,19.29,19.79,20.0,19.18,7354634.0,145259263.0
2023-01-17,19.78,19.47,19.8,19.3,2703632.0,52693416.0
2023-01-18,19.44,19.37,19.62,19.28,1723879.0,33463857.0
2023-01-19,19.41,19.64,19.87,19.1,2200564.0,43099717.0
2023-01-20,19.75,19.47,19.75,19.35,2246461.0,43750045.0
2023-01-30,19.74,19.11,19.74,19.08,4224676.0,81150521.0
2023-01-31,19.07,19.01,19.28,18.98,5520803.0,105415358.0
2023-02-01,19.18,19.08,19.19,18.79,2116012.0,40154608.0
2023-02-02,19.03,19.68,20.05,18.96,4840625.0,95096099.0
2023-02-03,19.68,19.57,19.8,19.35,2568593.0,50301261.0
2023-02-06,19.57,19.1,19.6,19.03,2673346.0,51316576.0
2023-02-07,19.31,18.87,19.34,18.71,2339165.0,44309081.0
2023-02-08,18.97,18.88,19.18,18.71,2207953.0,41746284.0
2023-02-09,18.99,19.4,19.48,18.86,3154973.0,60816621.0
2023-02-10,19.41,19.45,19.52,19.07,2285090.0,44076476.0
2023-02-13,19.45,19.46,19.99,19.4,3267440.0,64196049.0
2023-02-14,19.47,19.51,19.7,19.3,1927681.0,37457481.0
2023-02-15,19.54,19.25,19.72,19.17,2770533.0,53759025.0
2023-02-16,19.34,18.84,19.5,18.82,2508648.0,48009343.0
2023-02-17,18.8,18.77,19.08,18.75,2705785.0,51132765.0
2023-02-20,18.8,18.8,18.93,18.25,6838391.0,126471712.0
2023-02-21,18.9,18.56,18.9,18.48,3358111.0,62517567.0
2023-02-22,18.58,18.18,18.6,18.15,3979991.0,73037144.0
2023-02-23,18.14,17.58,18.43,17.36,9648243.0,170421500.0
2023-02-24,17.59,17.62,17.68,17.37,5328007.0,93363915.0
2023-02-27,17.62,17.14,17.62,17.04,6702769.0,115393494.0
2023-02-28,17.23,17.27,17.49,17.14,4805706.0,83194148.0
2023-03-01,17.27,17.19,17.31,17.02,5036904.0,86404680.0
2023-03-02,17.18,16.99,17.28,16.94,4422347.0,75601545.0
2023-03-03,17.03,16.86,17.14,16.85,3799084.0,64346004.0
2023-03-06,16.83,17.05,17.17,16.83,4102522.0,70091529.0
2023-03-07,17.07,16.77,17.31,16.71,5576892.0,94975114.0
