,股票代码,财报发布日,财报统计截止日,净利润(元),营业总收入(元),应付账款(元),销售净利率(%),营业收入(元),存货(元),营业成本(元),管理费用(元),营业费用/营业总收入(%),管理费用/营业总收入(%),总市值(亿元),销售费用(元),财务费用(元),换手率(%),利润总额(元),每股收益(元),总股本(万股),盈余公积金(元),未分配利润(元),资本公积金(元),营业利润(元),经营活动产生的现金流量净额(元),每股未分配利润(元),每股公积金(元),每股净利润(元),每股营业利润(元),每股经营现金流(元),净利润与营业总收入之比,存货周转率,管理费用与营业总收入之比,股价,中文名称,上市日期,机构名称,上市年限,行业名称
0,002829.XSHE,2020-10-10,2020-09-30,49028368.66,145214056.9,189311824.38,33.76,145214056.9,321029788.66,62344147.21,15685852.62,1.42,10.8,63.8491,2065124.71,2209617.13,4.0585,56601611.4,0.3246,15695.4424,25572802.37,411111735.05,420352871.2,56576489.82,-8518130.97,2.6193064494314604,2.6781842810623804,0.312373282705303,0.3604644480744295,-0.05427136587115251,0.337628255188565,0.1942005054117522,0.10801883064806792,39.43750000000001,星网宇达,2016-12-13,星网宇达,3,国防军工I
1,603707.XSHG,2020-10-10,2020-09-30,202379930.8,762549427.4,315113437.08,26.54,762549427.4,4142165036.2,321713218.06,17394473.04,18.07,2.28,418.5954,137763075.99,17231556.67,0.4503,235449380.49,0.2191,93415.6172,180760702.66,2111383132.08,203488055.88,214563765.33,-242453881.92,2.260203588399564,0.21783087451463093,0.21664464343976955,0.22968725333219767,-0.2595431997209991,0.26539909877060386,0.07766788991950403,0.022810944989242805,25.933999999999997,健友股份,2017-07-19,健友股份,3,医药生物I
2,300504.XSHE,2020-10-12,2020-09-30,38437071.73,499669004.52,364540519.66,7.69,499669004.52,530906044.79,389305177.92,12867722.59,5.47,2.58,51.583,27331264.27,-3793765.92,1.827,45694313.28,0.1437,26740.8008,85278404.38,744206194.83,759658379.77,45603766.85,87933298.38,2.783036306190202,2.840821355544446,0.1437394190902465,0.17054001931759652,0.32883569582553407,0.07692506715905668,0.7332845081355021,0.025752493097628094,21.267000000000003,天邑股份,2018-03-30,天邑股份,2,通信I
3,603559.XSHG,2020-10-12,2020-09-30,12878219.77,210234393.42,221815401.52,6.13,210234393.42,334713897.32,164942011.02,15625098.91,1.17,7.43,26.2693,2465590.19,3754286.06,1.6024,14232890.51,0.0907,14331.3203,34876318.67,230612229.53,452523564.26,14303777.92,-31841960.66,1.609148527159776,3.1575846104004808,0.08986066531497451,0.09980781686946179,-0.2221844184167735,0.06125648406287299,0.49278506910129516,0.07432227741530685,18.400499999999997,ST通脉,2016-12-02,ST通脉,3,通信I
4,300208.XSHE,2020-10-12,2020-09-30,-43895611.98,180000390.5,720182643.84,-24.39,180000390.5,190245538.03,168049646.81,17811977.83,1.62,9.9,100.1299,2916464.79,41959741.29,8.027999999999999,-55131578.21,-0.0587,74947.5,98901380.51,791980340.71,207765572.12,-52055926.31,-79037256.39,1.0567134870542714,0.2772148131959038,-0.05856848057640348,-0.06945652131158478,-0.10545682829980987,-0.24386398195063913,0.8833302927898372,0.09895521771104157,10.8315,青岛中程,2011-04-26,青岛中程,9,电气设备I
5,300620.XSHE,2020-10-12,2020-09-30,19297884.16,137288170.08,46506196.04,14.06,137288170.08,104778091.74,76569709.46,16235645.12,3.08,11.83,40.2605,4232777.3,6036566.46,0.8337,24370946.68,0.2057,9164.7002,25188783.86,232142939.36,380214068.16,23049357.26,2696145.7,2.533011820288459,4.148679824354757,0.21056754436986386,0.25150148675894496,0.029418809575462165,0.14056479992962842,0.7307797669192405,0.11825960758701372,31.600499999999993,光库科技,2017-03-10,光库科技,3,通信I
6,300267.XSHE,2020-10-13,2020-09-30,114353710.33,579022695.09,135114471.65,19.75,579022695.09,1027436198.52,458725532.33,61072245.59,4.54,10.55,110.9681,26268714.42,15460338.05,6.1143,126371895.42,0.0559,206260.4844,114739836.4,2699004164.71,916191130.0,126697880.63,294001027.72,1.3085415621713725,0.4441913014337903,0.05544140491216649,0.061426152953415636,0.14253870709905114,0.19749434918475087,0.4464759300779789,0.10547470091911904,5.24,尔康制药,2011-09-27,尔康制药,9,医药生物I
7,002236.XSHE,2020-10-13,2020-09-30,1447953511.15,6327875819.49,5248462079.91,22.88,6327875819.49,5101544457.02,3793778948.43,204814956.72,15.74,3.24,615.6716,996040994.43,198253473.52,0.8865,1469468927.96,0.4859,300327.625,1553691005.92,12677030852.16,1851052525.03,1468600068.22,1374884709.97,4.221067193589001,0.6163444088867949,0.48212465008838273,0.4889993280571509,0.4577949530849851,0.228821416926399,0.7436530212354722,0.03236709482970025,20.5105,大华股份,2008-05-20,大华股份,12,电子I
8,603138.XSHG,2020-10-13,2020-09-30,8292234.29,104118005.25,50791764.04,7.96,104118005.25,47628164.22,67022086.68,5025495.99,9.06,4.83,46.3639,9437853.94,-822468.14,0.9577,11203716.86,0.0338,25266.4531,30519617.5,201751351.12,16640859.89,11211717.02,25643794.44,0.7984949463286559,0.06586147974208538,0.03281914662568922,0.04437392528197794,0.10149344800596488,0.07964265421806091,1.407194414851205,0.04826730955835326,18.6795,海量数据,2017-03-06,海量数据,3,计算机I
9,603887.XSHG,2020-10-13,2020-09-30,97016316.74,978315872.55,1063698224.35,9.92,978315872.55,505602061.34,726583396.78,33193942.85,2.85,3.39,91.0782,27877139.93,23901769.9,0.8258,116236586.32,0.2584,37558.0273,49999041.54,883097069.44,2312793369.83,115967686.11,-72726263.55,2.3512871493120193,6.1579202532556865,0.2583104697301288,0.30876937487608674,-0.19363706983087473,0.09916665921725773,1.4370657327905902,0.03392967831900685,20.21,城地香江,2016-10-10,城地香江,4,建筑装饰I
10,300511.XSHE,2020-10-13,2020-09-30,63660592.84,567672459.77,196816986.25,11.21,567672459.77,395173313.74,448631667.61,39077570.83,1.13,6.88,71.2994,6441438.11,16993309.12,2.1184,63689442.73,0.1384,44202.9922,65053423.99,991487020.57,470526644.54,63560465.54,90933130.69,2.243031458331909,1.0644678586713414,0.14401874097563921,0.14379222395718272,0.20571713851081783,0.11214317648207373,1.1352782488373503,0.06883823612974424,15.969999999999999,雪榕生物,2016-05-04,雪榕生物,4,农林牧渔I
11,300692.XSHE,2020-10-14,2020-09-30,45703993.41,310178315.28,408494934.71,14.73,310178315.28,5693365.6,223533372.3,6464315.14,0.24,2.08,26.5507,755270.95,14495038.38,2.0151,56125148.64,0.256,16594.209,21384742.6,376311406.69,486851027.58,56153378.56,-19582145.12,2.2677272938408817,2.9338610088615855,0.2754213437350343,0.33839141449887733,-0.11800589663538649,0.1473474809763626,39.2620794104633,0.020840641726242597,8.675999999999998,中环环保,2017-08-21,中环环保,3,公用事业I
12,300115.XSHE,2020-10-14,2020-09-30,192323353.64,2739585329.24,2123529344.3,7.02,2739585329.24,3140992181.43,1910349935.51,185886086.79,2.36,6.79,217.0017,64596665.52,105369670.77,3.0023,209197566.41,0.2018,90986.0234,225145933.48,2285530238.93,1295811764.0,209729591.36,-302041206.44,2.51195750019997,1.424187711010568,0.21137680981450604,0.23050748183374284,-0.33196439975417147,0.07020162927115442,0.6081995195035076,0.06785190620128173,20.599499999999995,长盈精密,2010-09-02,长盈精密,10,电子I
13,002746.XSHE,2020-10-15,2020-09-30,49323095.03,843669649.77,180909224.39,5.85,843669649.77,375899020.57,793338139.94,10658390.77,0.61,1.26,57.6833,5141252.47,-4701610.94,0.6617,49323095.03,0.1068,46369.25,172136265.66,1895933873.63,905400194.95,49469372.46,150562581.73,4.088774076850499,1.952587533656464,0.10637026699806446,0.10668572914161864,0.32470350874771536,0.05846256890175722,2.110508664632885,0.01263336991310008,8.1775,仙坛股份,2015-02-16,仙坛股份,5,农林牧渔I
14,300860.XSHE,2020-10-15,2020-09-30,106996825.72,399228235.46,131752302.72,26.8,399228235.46,69901105.21,253546781.9,10603557.52,0.63,2.66,94.9215,2504369.8,-4610276.28,4.149,132612224.86,1.4845,7207.4058,27027028.5,632717486.65,2373805641.64,131095204.07,79175498.47,8.77871323202032,32.935645744270424,1.4845400507350368,1.8188958372511785,1.0985297715580271,0.2680091642233566,3.627221359923903,0.026560139234095847,73.0245,锋尚文化,2020-08-24,锋尚文化,0,休闲服务I
